time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-27 00:00:00+00:00,1.0,1.0,10,4
2023-02-28 00:00:00+00:00,,,8,2
2023-03-01 00:00:00+00:00,,,6,2
2023-03-02 00:00:00+00:00,3.0,2.0,9,1
2023-03-03 00:00:00+00:00,,,2,2
2023-03-04 00:00:00+00:00,1.0,1.0,5,1
2023-03-05 00:00:00+00:00,,,22,3
2023-03-06 00:00:00+00:00,,,1,1
2023-03-07 00:00:00+00:00,,,25,6
2023-03-08 00:00:00+00:00,23.0,7.0,45,5
2023-03-09 00:00:00+00:00,,,9,3
2023-03-10 00:00:00+00:00,40.0,4.0,33,5
2023-03-11 00:00:00+00:00,,,5,1
