time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-22 00:00:00+00:00,,,4,1
2023-02-23 00:00:00+00:00,1.0,1.0,3,2
2023-02-24 00:00:00+00:00,,,21,3
2023-02-25 00:00:00+00:00,,,28,8
2023-02-27 00:00:00+00:00,1.0,1.0,10,4
2023-02-28 00:00:00+00:00,,,8,2
2023-03-01 00:00:00+00:00,,,6,2
2023-03-02 00:00:00+00:00,3.0,2.0,9,1
2023-03-03 00:00:00+00:00,,,2,2
2023-03-04 00:00:00+00:00,1.0,1.0,5,1
2023-03-05 00:00:00+00:00,,,22,3
2023-03-06 00:00:00+00:00,,,1,1
2023-03-07 00:00:00+00:00,,,22,5
