url_path,views_total,views_unique
/weanalyze/workcell/commits/main,20,2
/weanalyze/workcell,10,8
/weanalyze/workcell/blob/main/README.md,4,2
/weanalyze/workcell/blob/main/README_zh-hans.md,3,1
/weanalyze/workcell/tree/main/docs,3,1
/weanalyze/workcell/blob/main/docs/blog/2023-03-07-welcome/index.md,2,1
/weanalyze/workcell/blob/main/docs/docs/documents/workcell-cli.md,2,1
/weanalyze/workcell/blob/main/docs/docs/guides/congratulations.md,2,1
/weanalyze/workcell/blob/main/docs/docs/guides/create-a-workcell.md,2,1
/weanalyze/workcell/blob/main/docs/docs/guides/deploy-your-workcell.md,2,1
