time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-04 00:00:00+00:00,1.0,1.0,5,1
2023-03-05 00:00:00+00:00,,,22,3
2023-03-06 00:00:00+00:00,,,1,1
2023-03-07 00:00:00+00:00,,,25,6
2023-03-08 00:00:00+00:00,23.0,7.0,45,5
2023-03-09 00:00:00+00:00,,,9,3
2023-03-10 00:00:00+00:00,40.0,4.0,33,5
2023-03-11 00:00:00+00:00,6.0,3.0,29,1
2023-03-12 00:00:00+00:00,,,5,2
2023-03-13 00:00:00+00:00,20.0,8.0,58,1
2023-03-14 00:00:00+00:00,4.0,4.0,35,10
2023-03-15 00:00:00+00:00,3.0,1.0,62,18
2023-03-16 00:00:00+00:00,8.0,5.0,17,8
2023-03-17 00:00:00+00:00,1.0,1.0,10,6
