time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-02 00:00:00+00:00,,,8,1
2023-04-03 00:00:00+00:00,,,27,9
2023-04-04 00:00:00+00:00,,,10,6
2023-04-05 00:00:00+00:00,,,11,3
2023-04-06 00:00:00+00:00,,,11,5
2023-04-07 00:00:00+00:00,1.0,1.0,16,9
2023-04-08 00:00:00+00:00,1.0,1.0,17,4
2023-04-09 00:00:00+00:00,,,11,7
2023-04-10 00:00:00+00:00,,,9,3
2023-04-11 00:00:00+00:00,2.0,2.0,2,2
2023-04-12 00:00:00+00:00,,,8,5
2023-04-13 00:00:00+00:00,,,6,2
2023-04-14 00:00:00+00:00,5.0,3.0,44,7
2023-04-15 00:00:00+00:00,,,20,7
2023-04-16 00:00:00+00:00,,,58,3
