time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-23 00:00:00+00:00,1.0,1.0,,
2023-02-24 00:00:00+00:00,,,21.0,3.0
2023-02-25 00:00:00+00:00,,,28.0,8.0
2023-02-27 00:00:00+00:00,1.0,1.0,10.0,4.0
2023-02-28 00:00:00+00:00,,,8.0,2.0
2023-03-01 00:00:00+00:00,,,6.0,2.0
2023-03-02 00:00:00+00:00,3.0,2.0,9.0,1.0
2023-03-03 00:00:00+00:00,,,2.0,2.0
2023-03-04 00:00:00+00:00,1.0,1.0,5.0,1.0
2023-03-05 00:00:00+00:00,,,22.0,3.0
2023-03-06 00:00:00+00:00,,,1.0,1.0
2023-03-07 00:00:00+00:00,,,25.0,6.0
2023-03-08 00:00:00+00:00,23.0,7.0,45.0,5.0
2023-03-09 00:00:00+00:00,,,5.0,2.0
