url_path,views_total,views_unique
/weanalyze/workcell,165,58
/weanalyze/workcell/blob/main/README_zh-hans.md,29,19
/weanalyze/workcell/tree/main/workcell,9,6
/weanalyze/workcell/stargazers,7,3
/weanalyze/workcell/blob/main/README.md,6,3
/weanalyze/workcell/tree/main/workcell/cli,6,2
/weanalyze/workcell/tree/main/workcell/deploy/huggingface,6,2
/weanalyze/workcell/issues,5,5
/weanalyze/workcell/blob/main/workcell/core/components.py,5,2
/weanalyze/workcell/tree/main/workcell/utils,5,1
