time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-19 00:00:00+00:00,12.0,10.0,100,8
2023-01-20 00:00:00+00:00,14.0,8.0,110,2
2023-01-21 00:00:00+00:00,31.0,13.0,226,3
2023-01-22 00:00:00+00:00,60.0,14.0,244,1
2023-01-23 00:00:00+00:00,6.0,4.0,19,1
2023-01-24 00:00:00+00:00,56.0,12.0,113,2
2023-01-25 00:00:00+00:00,,,4,1
2023-01-28 00:00:00+00:00,,,21,4
2023-01-29 00:00:00+00:00,,,3,2
2023-01-30 00:00:00+00:00,1.0,1.0,4,1
2023-01-31 00:00:00+00:00,,,13,4
2023-02-01 00:00:00+00:00,,,1,1
