url_path,views_total,views_unique
/weanalyze/workcell,10,7
/weanalyze/workcell/blob/main/README_zh-hans.md,7,1
/weanalyze/workcell/tree/main/docs,4,1
/weanalyze/workcell/tree/main/examples,4,1
/weanalyze/workcell/tree/main/examples/hello_workcell,4,1
/weanalyze/workcell/blob/08aa270079fe689b32d106b1fae10bfb011a13ba/workcell/core/routes.py,2,1
/weanalyze/workcell/blob/main/examples/hello_workcell/app.py,2,1
/weanalyze/workcell/blob/main/examples/hello_workcell/requirements.txt,2,1
/weanalyze/workcell/blob/main/pyproject.toml,2,1
/weanalyze/workcell/tree/main/docs/blog,2,1
